Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
2,20,11,The One Where Old Yeller Dies,29,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,Michael Lembeck,8.2
2,21,13,The One with the Bullies,24,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,Michael Lembeck,8.2
2,22,8,The One with the Two Parties,28,Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party so the gang has to find ways to keep her parents separated otherwise they'll start fighting.,Michael Lembeck,9.0
2,23,14,The One with the Chicken Pox,28,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,Michael Lembeck,8.1
2,24,13,The One with Barry and Mindy's Wedding,38,Rachel reluctantly agrees to be maid of honor at her ex-fianc̩ Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,Michael Lembeck,8.2
3,1,14,The One with the Princess Leia Fantasy,38,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,Gail Mancuso,8.4
3,2,4,The One Where No One's Ready,28,A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum while Joey and Chandler clash over personal belongings and personal space.,Gail Mancuso,9.0
3,3,12,The One with the Jam,20,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,Kevin Bright,8.1
3,4,12,The One with the Metaphorical Tunnel,36,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,Steve Zuckerman,8.1
3,5,15,The One with Frank Jr.,22,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,Steve Zuckerman,8.1
3,6,16,The One with the Flashback,26,The gang remember the events three years ago when several of them almost slept together.,Peter Bonerz,9.1
3,7,17,The One with the Race Car Bed,29,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.,Gail Mancuso,8.3
3,8,13,The One with the Giant Poking Device,36,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,Gail Mancuso,8.4
3,9,6,The One with the Football,25,Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of 'touch' football.,Kevin Bright,9.0
3,10,15,The One Where Rachel Quits,26,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,Terry Hughes,8.1
3,11,14,The One Where Chandler Can't Remember Which Sister,50,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,Terry Hughes,8.6
3,12,16,The One with All the Jealousy,29,Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.,Robby Benson,8.2
3,13,14,The One Where Monica and Richard Are Just Friends,49,Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a 'wardrobe malfunction'.,Robby Benson,8.2
3,14,19,The One with Phoebe's Ex-Partner,32,Phoebe is reunited with her former singing partner who thinks 'Smelly Cat' has hit potential. Chandler dates a woman with a prosthetic leg.,Robby Benson,7.9
3,15,17,The One Where Ross and Rachel Take a Break,42,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman. Phoebe's date needs an interpreter to communicate.,James Burrows,8.5
3,16,14,The One with the Morning After,30,Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.,James Burrows,9.1
3,17,11,The One Without the Ski Trip,28,Monica Chandler Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.,Sam Simon,8.3
3,18,16,The One with the Hypnosis Tape,30,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,Robby Benson,8.4
3,19,16,The One with the Tiny T-Shirt,29,Rachel goes on her first date after splitting from Ross with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete even though she is still not attracted to him.,Terry Hughes,8.2
3,20,15,The One with the Dollhouse,26,Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with. Rachel regrets setting up Chandler with her boss Joanna.,Terry Hughes,8.1
3,21,16,The One with the Chick and the Duck,35,Joey buys a chick for him and Chandler. Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.,Michael Lembeck,8.7
3,22,13,The One with the Screamer,25,Ross witnesses Rachel's date screaming at people. Meanwhile Joey becomes upset when Kate is offered a job in Los Angeles. Phoebe refuses to hang up the phone when she is placed on hold by her phone company.,Peter Bonerz,8.3
3,23,15,The One with Ross's Thing,25,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys. Monica can't decide what to do about Pete when she thinks he is going to propose.,Shelley Jensen,8.1
3,24,15,The One with the Ultimate Fighting Champion,43,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,Robby Benson,8.1
3,25,13,The One at the Beach,20,While at the beach Phoebe meets a family friend with links to her past. Ross discovers that Rachel still loves him and must decide between her and Bonnie.,Pamela Fryman,8.9
4,1,14,The One with the Jellyfish,26,Ross chooses between Rachel and his bald-headed girlfriend Bonnie. Joey Chandler and Monica have a perilous encounter with a jellyfish at the beach.,Shelley Jensen,9.1
4,2,14,The One with the Cat,20,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,Shelley Jensen,8.1
4,3,16,The One with the 'Cuffs,23,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,Peter Bonerz,8.5
4,4,15,The One with the Ballroom Dancing,33,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,Gail Mancuso,8.2
4,5,16,The One with Joey's New Girlfriend,34,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,Gail Mancuso,8.4
4,6,13,The One with the Dirty Girl,27,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,Shelley Jensen,8.5
4,7,11,The One Where Chandler Crosses the Line,39,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,Kevin Bright,8.7
4,8,9,The One with Chandler in a Box,30,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,Peter Bonerz,9.1
